title,views,date_time,link,thumbnail
A matrix probability question | GeeksforGeeks,13K views,8 years ago,https://www.youtube.com/watch?v=1VbNIBsrPCM,https://i.ytimg.com/vi/1VbNIBsrPCM/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhdIF0oXTAP&rs=AOn4CLBbVr2vMd7fK60GDFHnaVT8ESYkng
Write a program to reverse an array or string | GeeksforGeeks,46K views,8 years ago,https://www.youtube.com/watch?v=KBqbhoIn8Og,https://i.ytimg.com/vi/KBqbhoIn8Og/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLApCFbn18lyEUFvS5OmZQAP2zuA-A
Check if a linked list is Circular Linked List | GeeksforGeeks,26K views,8 years ago,https://www.youtube.com/watch?v=ce2rnhkNLzU,https://i.ytimg.com/vi/ce2rnhkNLzU/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLDxrVH4H_f5RCiHYFOY13bPjko0_Q
Decimal Equivalent of Binary Linked List | GeeksforGeeks,16K views,8 years ago,https://www.youtube.com/watch?v=k9x5UjTYi5I,https://i.ytimg.com/vi/k9x5UjTYi5I/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLDsi6I3IIHIqB0d3jlUXMvZg48iZg
Maximum difference between two elements (larger element appears after smaller) | GeeksforGeeks,41K views,8 years ago,https://www.youtube.com/watch?v=SO0bwMziLlU,https://i.ytimg.com/vi/SO0bwMziLlU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDPsoayMxGHfeCJS1N4IW5cKAZxQQ
Dynamic Programming | Set 10 (0-1 Knapsack Problem) | GeeksforGeeks,286K views,8 years ago,https://www.youtube.com/watch?v=T4bY72lCQac,https://i.ytimg.com/vi/T4bY72lCQac/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhcIFwoXDAP&rs=AOn4CLA9Qp9RPwCvjW5W3nUwm3DUq87EgA
Finding Attribute Closure and Candidate Keys using Functional Dependencies | GeeksforGeeks,18K views,8 years ago,https://www.youtube.com/watch?v=hgM-J93DaiM,https://i.ytimg.com/vi/hgM-J93DaiM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjWvKO87XTmvvr8Wb9KGRMCVMszg
Find minimum number of merge operations to make an array palindrome | GeeksforGeeks,12K views,8 years ago,https://www.youtube.com/watch?v=wBGxPHXAPM4,https://i.ytimg.com/vi/wBGxPHXAPM4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAja66Ix7raSsosdNjwh5XuvxpItg
Rearrange a linked list such that all even and odd positioned nodes are together | GeeksforGeeks,28K views,8 years ago,https://www.youtube.com/watch?v=IUKRzbJac9o,https://i.ytimg.com/vi/IUKRzbJac9o/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLB_gTofxaShltuKJ3H4zGosj1Jjmg
Move all zeroes to end of array | GeeksforGeeks,46K views,8 years ago,https://www.youtube.com/watch?v=0jXTju134Hw,https://i.ytimg.com/vi/0jXTju134Hw/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLAwy2Panp9j0dgJ33m1Em2vo6dR6A
Add 1 to a number represented as linked list | GeeksforGeeks,134K views,8 years ago,https://www.youtube.com/watch?v=utc8bwTDjLk,https://i.ytimg.com/vi/utc8bwTDjLk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDl49Snt38tVG3OVBzPLDvZAiwQCg
